10C 8C 9S 6S 3H 3S JD ,    Pair
QD 4C AH 5S 7S 5D QH ,    High Card
10H 3H 3S 2D 3C 6D 8C ,    Pair
AD 5C QC 4S 9H 8D 7C ,    High Card
6C 9H QC 2C 4H 3S 6D ,    High Card
KD 7C 8C 4D 3C AD AS ,    High Card
7D 10H 2D 5S JC 5C 8D ,    High Card
10D 2S 9S 3D 3H 8S 5H ,    Pair
3D 10S 9C AH 2D 7S 9S ,    High Card
6H 6S KH JD 3H QS 8S ,    Pair
9H KC KD 2S AC 7D 6C ,    Pair
2H 7S 6C AC 3H 4D 9S ,    High Card
6H 9D 6S 10S 8H 9C KH ,    Pair
QC 5C JD 3D KS AD 7C ,    High Card
4C JH JC 10C 2S 7D 2D ,    Pair
2C JS 8S 10S 7S KH 3S ,    High Card
2H 2S AC 6H 7C 4S AS ,    Pair
KS 5H 4D 3H 10H JH 2D ,    High Card
4S 8C 8S 3D 4C 5S 9D ,    Pair
7D QS 9H 3H AH QD QH ,    High Card
10S KD 10C 4D AD JS JC ,    High Card
10D 6C KH QC 9S AC 8D ,    High Card
JC 4D KH 10D 9D 5H 2D ,    High Card
10H 10S 6S JS KS 5D 2S ,    High Card
2C 3S 10C 3H 6C QH 7H ,    Pair
7S 6D 4S QC 8D 4D 10H ,    High Card
4H KS KD 2H 2C 3C 4D ,    Two Pair
10H JS AS 7D 10S 5S JC ,    High Card
8C 5D AC 8D 9H 2S 3S ,    High Card
QC 9D 8H 4C QH QS 3H ,    Pair
KS 10H 2S 9C 10D 3D JD ,    High Card
QS KH QC 6D 7D 7S KD ,    Two Pair
4D 7H 4H 10S 3C 4C 10C ,    Pair
3D 6D 10H 9H 5H 10C QS ,    High Card
6H KD 8S 3C 8D 5D 9D ,    High Card
KH 5C 4D JC 4C AD 7C ,    High Card
7S 6S 9S AC 7H 4S QH ,    High Card
5C 3C 8D AS 3S 2C 6C ,    High Card
KC QH 8C 9D 10S 2D 6D ,    High Card
5H 2S 10H 8H QD 6H 9C ,    High Card
6D 10C 6H QD KC AS 2D ,    Pair
2S 6S 10S AC 9S QH JD ,    High Card
9H 8S 7S 3C QC 7C 5C ,    High Card
AH 3S AD 2H 5S 4C 3H ,    Pair
3S JD 8C 6S 5S 5H 3H ,    Pair
2D 9S AH QC 6D KS QD ,    High Card
3D 9C 6C 10S 8D KD 4D ,    High Card
6D 6C 4H 2D 7C 8H JS ,    Pair
3D 8S KH 2H 6H 4S QD ,    High Card
9C AC 7D 4D 10D 5S JH ,    High Card
8D 5D KS 5C 9H QC 10S ,    High Card
3S 7H 10S AS 6C 4D JD ,    High Card
QH 6D 4S 2C 6S 5D AD ,    High Card
AH 8C QD 6H QC 5S 4H ,    High Card
8C KD 10H 3S 2D 8H JS ,    High Card
4S QH QC 5H 10S 4D 2H ,    Pair
5S QS 4H 5D 8D AC 2S ,    High Card
AS AH 9S QD JD AD 3D ,    Pair
7C 9C 2H 4H 10H QS 2S ,    High Card
QD QH 6H KH 4D 6S 5H ,    Pair
3D 2D 8S 6C 10D 7H KC ,    High Card
QC 10D 8S 7H KS 2D 7C ,    High Card
AC 6S 4D QD 3H 2C 5S ,    Straight
6H 3S 8D 10S JC 9S 4C ,    High Card
KC 3D 8H 4H 2H 10H QS ,    High Card
JC 7C 7H 10C 8D QH 4C ,    Pair
6H 6S JS AS 9S 9H 5S ,    Two Pair
9C 4D 9D QC JD 4S 2C ,    Pair
9D 5S 7C 5C 2H 9S AC ,    High Card
AS 9C 7H 10S JD KC 4C ,    High Card
8S 10H 6C AH 10D 3H 5D ,    High Card
4D 7D 2C 6S QH 6H QS ,    High Card
3D JC 9H 2C 4C 2D 8S ,    High Card
10S JH KS 7S AH QS 7D ,    High Card
9D 4D QC 3S 7H 8C 3C ,    High Card
QC 5S 9S 4C QD 5H 5D ,    High Card
JH 3D 3H QH JS JC 9D ,    Two Pair
10D 9S AC 6C KS QC JD ,    High Card
7D 4S 10C 7C 8S 10S 10H ,    Two Pair
AS KC 6H 4D 7S 8D QS ,    High Card
QS 9C 4C 8C 3H 7C 9S ,    High Card
JC 2D QD 7H 9H 6D 10S ,    High Card
10D JD KD 7S 5S 10H 2S ,    High Card
AH 10D 9S 2H 2D 4S 7C ,    Pair
4D QD KD 3S KS JH 5C ,    High Card
5S 6H 10C JD 3C JC 10H ,    High Card
4C 5D 8D 6S 9C AD 3H ,    High Card
7S KD 10C QD 4S 9S 8D ,    High Card
7D 3S 2C 2S 8C JH 10S ,    Pair
2D 5S AH 7H 5D 5H QH ,    Pair
AS JC 6S 5H 2C AD JH ,    High Card
9S KC 3D QH 7H 10S 4H ,    High Card
3S 8D 9C 9H 2D 5S QC ,    Pair
2H 6H 8C 8H 5C QS 4D ,    Pair
6S 5S 7C 2D QS 6H AC ,    High Card
QD 10H 6C 7D 2C JC 3D ,    High Card
3S 8D KH 5D AD QC 9C ,    High Card
7C 8C KH 9C 5H 4D 2D ,    High Card
3C QS KS 4C 8D 6D QC ,    High Card
JS 10D 10C 5C 3H 7S 6C ,    High Card
2H 9H 7H AS QD 5S 9D ,    High Card
9H 3D 3H 6D 10H 6S 9S ,    Two Pair
4C KH KS KD 6C 7C QH ,    Pair
8C AD QD 7H AS JS 4H ,    High Card
AS 5C 7D 7C JH 6H 3S ,    Pair
JS 10C 7H QS 10H 5S 2C ,    High Card
KH 7S JD 9D 5H QH 4C ,    High Card
AH 8C 3C 6C 4D 4S 10D ,    Pair
JC 7S 4D 5C 2S KS 3C ,    High Card
7D 10H QD 3S 4H 8H 10S ,    High Card
4S AD 2H KH JD 5D AC ,    High Card
KS 8S AC 3D 5D AD 5H ,    High Card
JC 8H QS KC QD 7S 6S ,    High Card
6H 8D 4H JS QC 2D QH ,    High Card
5S 9D 6C 2H 10C 10H AS ,    High Card
6S 6H 4H 9C JC 3C 10D ,    Pair
KD 3D AD KC 7S 5H 10H ,    High Card
4D 4C 3S 2C 7H 8C 7C ,    Pair
7D 10H JH 2D 8S 5S 4D ,    High Card
3D 6D AH AC 2C 5D 3S ,    Pair
6H 4S 5H 8C 7H AS QD ,    Straight
4C 9H 9C 8D 10S JD 3H ,    Pair
9S 5H KH 5C 3C 6D 6H ,    High Card
2S 5S KD 3H 8D 7D 4S ,    High Card
2H JH JD 3S AC QC 4H ,    Pair
8D 5H 6C 9C 6H JD JH ,    High Card
7S KC 9H 5S 8C 4H 7H ,    High Card
10S 10D 9D QH 4S JH 9C ,    High Card
KH 6S 8S QS 3C JC 8H ,    High Card
3S 2S 4D 6C AS 3H KD ,    High Card
8C 8D 10D 6S 9H KD 4S ,    Pair
7H AH AC AD 3S JC 2H ,    Pair
7S 2C 9S KC 10H 3D 4D ,    High Card
KH 8H 10H 5C AC 2C 4S ,    High Card
6D JH KS 4H 2D 8C KD ,    High Card
10D 9D 5S AH JD 9H JC ,    High Card
AS QS AD 7D 7S QH 5H ,    Two Pair
9D 2D 8D AS 3C 10C 5D ,    High Card
5C 7C 6S 10H 3H 7D 9H ,    High Card
7H 5H 10D 8C 9C 4C 10S ,    High Card
5D 3H 5H 4D 8C 7C 6D ,    Straight
8H 6H 3C 2H QC 4C JC ,    High Card
QH 7H 8D 6C 7S 2S 9C ,    High Card
JD AD KC AS 7D JH 8S ,    High Card
7S 3C 2C 8H 8D 7D KC ,    Pair
9H KD 3S 6D 10H 5H 7C ,    High Card
QD AC JS 8S JD 9C 5S ,    High Card
4C 6S JC KS AS 8H 4S ,    High Card
6H 6C 9S 7S 10S 9C QS ,    Pair
4D 3D 8C 5D 8D 6D 8S ,    High Card
QC AD 7D AC KD 3S 2D ,    High Card
8H 6S 7S 10S 4H JC 5S ,    Straight
7D AS QH 3H AD 7H 9H ,    High Card
8C 10C 5C 2D 8S 4D 5H ,    High Card
AC 4D 10H 8S AD QS JS ,    High Card
2C 6H 3S 6C 7S 5D JC ,    High Card
4C KH 3C 10C KC QD 8D ,    High Card
9C 8H KD AH 6S 9S 3H ,    High Card
3S 10D AD 4C 6S JH 6H ,    High Card
3D 7C KC 2H 6D QS 5D ,    High Card
KH AC AH 7D 4H 4S 8D ,    Two Pair
7D 6S QH AS 5D JS QD ,    High Card
8S JD 3S 5S 2S KC 6H ,    High Card
QS 9D JH 3C 8C 2D 7S ,    High Card
QC 8H 6D 4C 2C 8D 7H ,    High Card
JS KH 9S 2H AS JD 8C ,    High Card
8S 4D KS 3H 9H JC 6S ,    High Card
QS 8H 5S 5D 3S KD QC ,    Pair
QC QH 10H KS 10C 3C 5H ,    Pair
2S 10S 7D KH JS QD 3S ,    High Card
9H AS KC AH 5D 3D 4S ,    High Card
6H 9D 8C 2H AC 5C 8D ,    High Card
4C 6S 3C KH 7C 4H KD ,    High Card
8C 3S 2D 4D 6D 9D 4S ,    High Card
2S 6C JD AC 7S KS 5H ,    High Card
7S 5D AD 4D 6D 10H 6S ,    Pair
10C 10H 2H JC 2S KD 3C ,    High Card
JS 6D JD AD 6C 7C 10D ,    Pair
KC QC 7H 2D 7S 8S 9S ,    High Card
6H QS 5H 6S JH 8C 5C ,    High Card
AC KS QH 8D 6D 6H JS ,    Pair
4H KH 5H QD 5C 6C 7S ,    High Card
10D 2C JD 2D 4D 7H 2H ,    High Card
7D 8H KD 10S QH 5H 10H ,    High Card
9H 6S 10C 2S 2D JH 2H ,    Pair
JC 5S QD 2C JS 3D 3C ,    High Card
7C 9D 9C AS AH 7H 3S ,    Two Pair
JH 10D 3H 2C 2D 8H 5H ,    Pair
10H KC 3S 4C 10C 3D QH ,    High Card
6S 7D AC QC 9S 7H 3C ,    High Card
AH 5S 5C 7D 8H 4S 4H ,    Two Pair
7C 7H 10D AS JC 3D 6D ,    Pair
9S 3H 3S 2D 6C 2H 9H ,    Pair
QC 8D 3C 4D 5H AC QS ,    High Card
QD 5C 3C 10D JC AS QC ,    High Card
7C 8S 8H JS 6D 8D 5D ,    Pair
8C KS 2S 3D 5H JH KC ,    High Card
7D 10C 4D 4H 10D AS 6H ,    Pair
7S 3S KH 6C 10S AC 4S ,    High Card
3C 3D 8S AH 5H KS 2C ,    Pair
7H QC 5S 3H JD 2D 10H ,    High Card
7D 4H 2D AC 2S JC 8C ,    High Card
6H 3C KC KH AH 6S AD ,    Pair
2H 10D 9C 5H 10H JS 7C ,    High Card
KD KC 4S 2D 3C 8C KH ,    Pair
9H AS JS JD AH 7S AC ,    Pair
JH 4D 2C 4C 10D 8D 8H ,    High Card
9C 7D 3H AD 10S 5D 10H ,    High Card
AC 2C 6C 5S 2D 6H 5D ,    High Card
3S 10S 10D KC JS 4S QD ,    High Card
QS KH 9S 5C JH 3C 7H ,    High Card
KS JC 8C 7S 4S 5D 3C ,    High Card
9H 6H 8S 7C QH KH JH ,    High Card
JS 3D 7D 6C 3H 10S 4H ,    High Card
10D 8D AD 6S AS 4C 6D ,    High Card
6H 2D 6C 9D QS 5S 4S ,    Pair
8H 9H 7C 7D 9S 7H QD ,    Pair
QC 5C 2S 5D 9C AH 6D ,    High Card
2C 8D 10C 5S KH 9S 3D ,    High Card
9D 6H 4H 3H QH 10D 4D ,    High Card
4C AS 5H 7C 8H QS 9C ,    High Card
10H 6C 2S 2H AC 7S 3S ,    Pair
AH 4S 8S KD 2S 5D 7S ,    High Card
5S JS 10H 8C 2H 5H JC ,    High Card
QD 6S 10S 6H 4C 9H 3S ,    Pair
3D QH JD 5C 5S 5H AH ,    Pair
6D 4S QS 6H AD 6S 7H ,    High Card
KH 7D 10S 3D 2S 8C 2C ,    High Card
3C KD 5S QH QC 10H KS ,    Pair
3H QD AS JS 9D JH 6C ,    High Card
2D 7S 3S 7H QD 8D JS ,    High Card
9D 9H 10C 7C 10H 9C 4D ,    Pair
5C 8H 3H 4S QS JD KS ,    High Card
3C 8S 2H JH AC 7D 9S ,    High Card
6S JD 2C 6D KC 10D KH ,    Pair
5C 10H 6C QH 10S 3S 8C ,    High Card
4C AD 4S AH 9D 5S 7S ,    Pair
4S 5S AC AD 4H 9D 3S ,    Pair
5D 10C 2S QS 4C 6H 6D ,    High Card
9S KC 4D 8H 2H KS AS ,    High Card
QS 9C 3D 5C 4D QC 6D ,    High Card
KS 8D 9S 2H KC AH 2C ,    High Card
3S 5D QH 7S 6C AS 8S ,    High Card
7H AD KH 2D 9H AC QD ,    High Card
10S JH 2S 4D 7D 9C AC ,    High Card
5H JD 6H 2H QC 3C 8H ,    High Card
QH 6S KH KS 2D 4S 3S ,    Pair
2D 4H 4C 4D 7D 2C 8H ,    Pair
3D 6H 6C QH 5S 10S 10H ,    Two Pair
9S KD 6D JC AC KC 9C ,    High Card
5C 8S 3C 7S KS JH 7H ,    High Card
2C KH JD 8S 10C JC QD ,    High Card
9D JH 9H AD 2H 10S 6S ,    Pair
3H 2D QH KS 4D QC 10D ,    High Card
JS 4H KS 7C KH 6S 6D ,    High Card
JC 5C 2C 9S 8D AS KC ,    High Card
10C JH AD 2H 8H QC 3H ,    High Card
3C 5D 9H 4S 7D 4D 9C ,    High Card
6H 5H 7C 5C 5S 9D JC ,    Pair
AD 3C 10S 9S AS 3H KH ,    High Card
9C QH JS QS 7S 8S 6D ,    High Card
10C KS 2H KH 9D AC 5C ,    High Card
10S JH 5S QC 4C 2C QD ,    High Card
5H 7D AH 6D 8D 7H 6H ,    High Card
9S 3H 10D AS JD 2D KD ,    High Card
QD 3D 5S 4S 3H 10S AC ,    High Card
QH 5H KD 2S 9C 4H 2H ,    High Card
10C 4C 9H AS 7S 3C 5D ,    High Card
9S 3S 4H AD 8C KS 5H ,    High Card
7H 3C 5D QS 7D 5C JS ,    High Card
10S QH 8D 10D 6H 8H 4S ,    High Card
AC 4D 9C 7S AH JC 10H ,    High Card
2S 3H 3C 4D JD 8D QC ,    Pair
7C 10S 4S 7H 8C 9H JC ,    High Card
QD JS QS JH 6D 6C KC ,    Two Pair
4S QD 10C 2S 6S KS 5D ,    High Card
5S AH 8S 6S 10C 3C AC ,    High Card
2H 3D 9H KD KH AD 6D ,    Pair
QC 10S 2S 10D 10H QS AS ,    High Card
5C 6H 7H JC 3H QH 2D ,    High Card
5H AH 10S 8C AD 2S KS ,    High Card
3S AC KC 2H 9C 4C JC ,    High Card
7H JH 5D KD QD 8H 4H ,    High Card
JH 2H 5S 8C 2S 6S AD ,    High Card
QH QC 10S 6D 5H 7H 10C ,    Pair
KD AS 3C 4C AH 3S 9D ,    High Card
KC 9S QD JD 7S 8D KH ,    High Card
8C AS JH 6H 8D KD 10S ,    High Card
3C AD 7S 5C 8H KC 10H ,    High Card
10C 4D KS 4S QH JC 10D ,    High Card
5H 10C 10H JS AS 7C AD ,    High Card
4H AC 6D 3S 9D KH 3D ,    High Card
9H 4S JC 9S KD 2D 5D ,    High Card
8S 5C 7H 2S 9C 6H JD ,    Straight
10S 7C 6S 3D 7S KC QD ,    High Card
3C 5D KS 2D QH 8S 2H ,    High Card
5H 10H 4H 6D JC 3H AH ,    High Card
2H 3H 7D 3S 5C QC 9D ,    High Card
7S 10C 10H AH 3C 6D 8H ,    High Card
4C 2C JC 9C 3D 7C 5D ,    Flush
JS QS KS 8S QD 6C 4D ,    Flush
KD KC 3D KH 10S KS JH ,    Pair
2D 4D AH QD QS JD 5H ,    Pair
6D 8D 3C 10H 8H 9S AD ,    High Card
QC 7D 2D 3S 5S JC KD ,    High Card
3C KS 8S 8H QS 4C 10C ,    Pair
5H 4S 3D 9H 4D KH 6C ,    High Card
6S KC 5C 6H 6D 7S 5D ,    Pair
10H 8D JD 3D JH 6H 8H ,    High Card
AS 9D JS 7S 7D 5C 9H ,    Pair
4C QH 2D 9S 5S 7H KC ,    High Card
3S 10D 7C AC 8C 7S 8H ,    High Card
10H 2C KD 6D 6H 5D 5H ,    Two Pair
5S AH JS 3C 9H JD JC ,    High Card
QH KC 9C 6S 4S AD 5C ,    High Card
4S KH 3C 8S 4C 2S AS ,    High Card
KS 6S 6H AC 10C 9C 2D ,    Pair
7H 9D 4D JC QH KD 8C ,    High Card
5H 9H 7C 5D AH 4C 7H ,    High Card
6H 8C KC 3H 9S QH KD ,    High Card
5S JD 4H 3S 2D 3D QS ,    High Card
AD JH JC 4D 6C 10H KH ,    Pair
3S 2H QC 7H 2D 2C 6D ,    Pair
10C 3C AH 3H AC 6S 5D ,    High Card
4C 5C KS 7D 8S AD 4D ,    High Card
5C 6S 7D 6H 3D 10H 2S ,    High Card
QS 4D 8C QD JS 6C 2C ,    High Card
10S 8S JD QH 10C KD 7D ,    High Card
6D KH 3H 4S 7S 8D QC ,    High Card
6S 4C AC 2S 10H 9S 3S ,    High Card
4C 5H JH KH JD 2D KD ,    High Card
5D 6D 4H AD 9D 2C KS ,    High Card
8C 7C 9C 3S 10C KC 3C ,    High Card
2S 5C JD 10S KC 10H QS ,    High Card
8C 4H 9C 9H QH 7C 6S ,    Pair
4C QD 5S AC 7S 8D 4S ,    High Card
3D 3S 2C 10C 10D 5D KS ,    Pair
7S 5C 3C AD KH 6H 8D ,    High Card
KC JC 10D JD 10S 8S AS ,    Pair
7C 2H 2S 10C 9H 6C 5S ,    Pair
5C 2C 9C 9H QH 6C 3S ,    Pair
6S 7D AC JC 8D 9D JH ,    High Card
4S KD 7S 10D 7H 8C 3H ,    Pair
8H 3D AH KC 7C 5H JD ,    High Card
5C 7C 4C AD 3C 9C JH ,    Flush
3S QS 8H 4S KS 9H KH ,    High Card
10H 8D 6C JC JD 9S 5S ,    Pair
JH KH 2D QS 7H QD 7D ,    High Card
KC 6D AS 8S JC 10D 4D ,    High Card
2H JS 5D 9S AH AD 10C ,    Pair
2S JD 9C 8H 9H KS 10H ,    High Card
3H 2H 10C KC AD 7S 9H ,    High Card
KD 10D 9D 5C 2D 4H 5D ,    High Card
QS 3D 6H 8H 2C 8D QD ,    High Card
4H KD 7S KS 3H QS JD ,    High Card
3C 7C QD 6C 4D 8S QH ,    High Card
AH 8H QC AD 4C 10C 8D ,    High Card
4S 7D KH 6D JS 9S 9C ,    High Card
AH KS QH 8C 9C 5H 5S ,    High Card
6S JD 3H JS AC 3C KH ,    High Card
7C KC 10H 2D 9H 8D 2H ,    High Card
4S 8D 7C 7H QD 6C QH ,    Pair
10H 4H 8H 7D 9C JH 3S ,    High Card
5C QC 2C 3C 5D JC 8C ,    Flush
3D 10C 6S AD 10S 8S 5H ,    High Card
7D 6S 7C 9H 4H 10C QS ,    Pair
JD 8S 7S 3H AS 4C 2C ,    High Card
2H 4D 8C 4S 2S 3D 5S ,    High Card
2D 7S 8H 9D JS 6H QC ,    High Card
10D 7D 9S 9H JH 2S 6D ,    Pair
5S QH AH 7C 6C 2C 8D ,    High Card
10C 5H JC AS AC KS 4D ,    Pair
7D AC AH 4S JD QD 10D ,    Pair
7C 5S QH 3D 5D 6D 7H ,    High Card
10S 9S AS 4D JS 9H QC ,    High Card
3H 3D 5D JD JS 9C AD ,    Two Pair
5C 9S JC 6C 7S KH 3D ,    High Card
KD AC QS 8D 4H 10D 9H ,    High Card
9C 8C QD 3H 4D QC 8S ,    High Card
7C 4S 10S 10H AS 2H JH ,    High Card
3H 9H 5H 4H 8H 3S 8D ,    Flush
6C 4S 3C 5D 7C 9C JS ,    Straight
AC 8S JD QC 7S 2S JH ,    High Card
KS KC 7H 10S 3D JH 8D ,    Pair
7C 6H 8C 7S 3C QD 8S ,    High Card
9D 4H 9H 6S 9S 5C 4S ,    Pair
6C JD 4C 3H 4D 7D AC ,    High Card
7D KS 7H 3C QD 2C 5C ,    Pair
2S 4D KD 8D 7S 3D 6S ,    High Card
5S 10C 2H 6C 4C JS 6H ,    High Card
AD 2D 9D 6S QH 3D JH ,    High Card
3S AH 5C KH AS QC JC ,    High Card
10C 6D 9C QD 8D 2C 10H ,    High Card
5D 7S JS JD 7D 9H 4S ,    Pair
2D 10C AS 5S 4S 4D QH ,    Pair
6D KC 2C 6H KD 9D 10D ,    High Card
KH 9H 3H 5D 7S 10S 9S ,    High Card
9D KD QH 5D KH AH 8H ,    High Card
5S 10S 5C QC JC 7S JS ,    Pair
AD 6S 9C 2D 3D 7C 4H ,    High Card
6D 7H 7D 9H AS 2S 3C ,    Pair
AS KH 5H 6S 5C 5D 10H ,    Pair
7C 8H 8D 9D 10D JC 10C ,    Pair
6D 6C 4D 2C AC 10S 5S ,    Pair
9S QC 2S 6S KD 7S AH ,    High Card
JC 2D 5S 4D 3S 2H 5D ,    High Card
JH 4C 10S 10H 3D 3C 7C ,    Pair
AC 9H AD 10D JD AS QS ,    Pair
AH 4C 3C 8C 3H 10H AS ,    High Card
QS 2H 5C KS 5S JS 10S ,    High Card
9D KC 8D 7H 5D 2C 10D ,    High Card
6D 4S QS 8H 4C 4D 9C ,    Pair
7S KD 5H JH 7H 9S 5D ,    High Card
10D 4H QD 2C QH 7C AD ,    High Card
7D 9H 8D 8S 6C QC 3S ,    Pair
AS 4H 8C KS 4D JD 8D ,    High Card
3D 10S 3C 5H 7C 8H AD ,    Pair
6C 7D KD 6D 8S 5D QC ,    High Card
5C 2H QD JH 6D QH 4D ,    High Card
7D KS 4C 5H 9S 7H QC ,    High Card
9H 6C KC 10S AC 3D QS ,    High Card
7C 8S 8C 3S 5S KD 2S ,    Pair
2H QC 6H 5C KC JC 4H ,    High Card
5H 4S 8S 10S KH 8H 8C ,    High Card
9S AH 7C JH 10H AC 3S ,    High Card
7D QC QS 4S 5D 8C 7S ,    Pair
7C 3S 2S 7D 6S 2C 9S ,    High Card
5D QH 3C 6H 8H 6C 2D ,    High Card
AC 5C JD 4S QC 10C 8C ,    High Card
5H JC QD 5S 4C 3H AH ,    High Card
JD QC QS 2D 2S 2H 7D ,    Two Pair
QH 6D 4D KS 9H QD JS ,    High Card
9D 2C 8D 9S 10S 10C 6S ,    High Card
10D AC 6C 4D 8H 10H 9H ,    High Card
3C 4S 2C 5C 7S 4H AS ,    High Card
KH QD 2S 9D QS 3D 8D ,    High Card
8S QC 7C 9C 5S 7D 7H ,    High Card
QS 2H 3D 10C 5S 9C 8C ,    High Card
10D 3C JS 7C 8H 10S KC ,    High Card
AH 7D QH 8S KH 2S 4D ,    High Card
4S 6H 9H 3H 6S 5S 6C ,    High Card
5H JC QH JD 4H 6D 2D ,    High Card
10D AD 10S 8H 8D 5D 2C ,    Pair
4C KS AC QS 9D 3S 4D ,    High Card
AC 7C 5D 10C 2C 4C 8D ,    High Card
KC 5H 6H 7D 3S KS QD ,    High Card
6D 8C AS AH 2D 9S 5S ,    Pair
10C JD 6H 10S 5C JS 3S ,    High Card
4S QD KD 7H 5S KC 4D ,    High Card
4C 6S 10H 7D AH 9H 9D ,    High Card
8H 8C AS JH JC 9C QH ,    Two Pair
3D AC 9S AD 5S 6C 5D ,    High Card
QD 7H 5C 9D 3H QS KS ,    High Card
3S KD 4D AS 8D 3C 6D ,    High Card
QC 10S 2D 9S 6S 5D 10D ,    High Card
JC AD AC 3H 8D 8S 6C ,    Two Pair
10H 2H JS 3S 7C 4S JD ,    High Card
10C JH 5S 2S 6H 8H 4H ,    High Card
JD 7S 4D 4H AH 3S 7D ,    Pair
8D QH 8H KC 2H 9H 2S ,    Pair
8S 4C KH QC 8C 3D 5H ,    High Card
6D 8C QD JD 6H 4D 2H ,    High Card
4H JS 2C QS 9H 2D KH ,    High Card
6S KD AH 8S 9D 4C AC ,    High Card
4S 5H AD QH 3S 3H 6C ,    Pair
AC 2S 4C JD 8S 3C 8H ,    High Card
2H 3S 5S 5H 7D 2C 4S ,    Pair
QS 6C JH 3D KD KH 8C ,    Pair
JH 10S 9C QH 8D 9D 4S ,    High Card
4C 4H 4D QC 10C 7C 7D ,    Full House
5S 7H AH 3H 3C 8H 6H ,    Pair
5H JC 10D JS AS KC KH ,    Two Pair
KH 4S 5S 10H 3C 7S 6H ,    Straight
8C 7H 6C 9H 2H 2S 10D ,    Pair
4C 8D 5C 5D 6D 9D JS ,    Pair
JC 8H 4S 2S 9S 9D QH ,    Pair
3C AD 8S 9C 5S QD 7S ,    High Card
7C JH AH JS QH 3D 9S ,    High Card
10H JD KD 4C 4D AC QS ,    Pair
KC 6S 5H 8D 10D JC 5D ,    High Card
9S 8H 3C JH 5C AH 2C ,    High Card
4S 6H 5S 7S QD AS 8D ,    Straight
8S 9H 2D KS JS 10C 6S ,    High Card
2S 4S 6H 7C 5C 10C 6D ,    High Card
QD 6C 3D 2H AH 2C 10H ,    High Card
QH AD 9D JS AC 3H KH ,    High Card
AS QS 3S 7S KD 9H 10S ,    Flush
5H 5S 4S 6D 6S 7D 10C ,    Two Pair
3D AD AH 5C QS 4H 2S ,    Pair
KD 5D 9D 10D 6C QH 3S ,    High Card
8H QH 9C 8D 9S AC 5C ,    High Card
AS 7D 6S 6H 4S 10D KD ,    Pair
6D 7H 2H 8C AD 5S 4C ,    Straight
7C 10C 10S 6C 3S JH QC ,    High Card
10S QH 2S 6S QD AH 5D ,    High Card
JD 4S QC 10C 2D 5S 8C ,    High Card
4H 5C 7H 3S 9S JH KH ,    High Card
KD 7H AD 3H 2C 7S AS ,    High Card
QS KS 4D 9S 4H AH 8C ,    High Card
KH 10D 10S 3D JS 9C KC ,    High Card
QD 6S 8S 8D QC QH 8H ,    Two Pair
7S KC AH 8S 10C 6S JC ,    High Card
6D 2S 7C 4D JH 8H 5H ,    Straight
7D 10D 3D 4C 2H 3C 9H ,    High Card
9C 9S 10S KD 5D KH 3D ,    Pair
AS 7D 7S QH 9D 3C 8S ,    Pair
5S 3H 4H 6S 4S JC 9H ,    High Card
2H 10D 5C KS JS QS 8H ,    High Card
5D 10C 9H 3C 6H 9D QS ,    High Card
7S QC 5H 7H 10H 6D QD ,    High Card
4H KH 8D 4C 8H 8C 3H ,    Pair
10D QD 6S 9D JC 2H 8S ,    High Card
5S 3C KH AS KS QC 8C ,    High Card
AC 3S JS 10S 9S 6H JH ,    High Card
9H 7C 2C 8H 5H 4S QS ,    High Card
7H 9S 10C JH 4S JS 8S ,    High Card
9D 3H 2C 4H 7C 9C AD ,    High Card
QS 8H JD 2D 4C 3D 4D ,    High Card
3H 3S 6S 5D 8C 4S 9C ,    Pair
7D 6H JH QC 10S KD KH ,    High Card
8H 7S 10H KS QS 4D 7C ,    High Card
AS AD JS 9S 4C 9D 6D ,    Pair
4D 2S 2H 2D KS QH QS ,    Two Pair
4H 9S 6C 2C 8D 5D JC ,    High Card
9C 7C QD QC KD 3S 8H ,    Pair
JD QD 10H 5H 6H 4D 2H ,    High Card
6D 3C 3D JD 6S 2C 10H ,    Pair
3S AC KS KD AH 6C 8C ,    Pair
5S AS QC 2H JC 4C JH ,    High Card
QS AD 7S 3H 5H 8S KC ,    High Card
AC AD 6H AH 10S KC 6C ,    Pair
6D QH 2C JC KD 8D 10D ,    High Card
3D 4H 7S 4D 9S 7H 2S ,    High Card
KS 8D 9H 3C 2H 6C AH ,    High Card
KC 8C 6H AC 9C 2D 10D ,    High Card
2S 5D 7S QS KH 7D 10C ,    High Card
QH 4C 9S QC 10H QD JH ,    Pair
6C QH 9C QS 7D JC KD ,    High Card
KC 7C 6S AS 3D 10H 5C ,    High Card
2D 3H 4H 5H KS KH 9S ,    Pair
JH 7C 4H 2S 6D 10C KD ,    High Card
5H 10D QC JS 7S 8C 5C ,    High Card
3C 8D 4S 2H KH 2C 7H ,    High Card
8H 4C 9D 7D 3H 2D 5D ,    High Card
5H JS 10C 4D QD QH JD ,    Pair
3S 9H 10D QC 8C 9S 8S ,    High Card
3D 2H 8D 7H KC 4S 7D ,    High Card
10C 3H 6C 6D QD 3S 5D ,    Pair
4C KC KH AH QC 3C 9H ,    Pair
5C 2C 3D 8D 8H 9S 4H ,    Pair
QS AC KS 2S 6S 7S 4S ,    Flush
6D QC 9C AC KS JH JD ,    High Card
QS 8H JC 2S KD 9S 4H ,    High Card
4S 5S 3H 5H AS 6S 5D ,    High Card
